NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant,num,Impact Grant,Reopening and Support Grant
Catalpa Tree Massage & Yoga,Self-regulated health professional,no,yes,6,0,1
Catholic Episcopal Corporation,Charity,yes,yes,7,1,1
Cathy & Company Hair Studio,Personal care service,no,yes,7,0,1
Causeway Fitness Centre,Fitness establishment,yes,yes,0,1,1
CC Lash and Brow,Self-regulated health professional,no,yes,6,0,1
Cedar House Bakery and Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Cedars Club,Drinking establishment,yes,yes,1,1,1
Celine Nails,Personal care service,yes,yes,7,1,1
CellMix,Small retail,no,yes,2,0,1
Celtic Charters,Drinking establishment,yes,yes,1,1,1
Celtic Clipper Barber Shop,Personal care service,no,yes,7,0,1
Celtic Corner Public House,Drinking establishment,yes,yes,1,1,1
Celtic Cuts,Personal care service,yes,yes,7,1,1
Celtic Music Interpretive Centre,Restaurant with onsite dining,yes,yes,4,1,1
Celtic Sisters Gifts,Small retail,no,yes,2,0,1
Centra Nova Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Central Nova Horse & Pony Association,"Live, performing arts for audience",no,yes,3,0,1
Central Stations Hair Salon,Personal care service,yes,yes,7,1,1
Certainly Cinnamon & The Wooden Door Bistro,Restaurant with onsite dining,yes,yes,4,1,1
Cha Baa Thai Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Cha Baa Thai Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Cha Baa Thai Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Cha Baa Thai Restaurant Dartmouth,Restaurant with onsite dining,yes,yes,4,1,1
Chain Yard Urban Cidery,Drinking establishment,yes,yes,1,1,1
Chameleon Cafe & Supper Club,Restaurant with onsite dining,yes,yes,4,1,1
Chameleon Hair Studio,Personal care service,yes,yes,7,1,1
Characters Hair Design,Personal care service,yes,yes,7,1,1
Charlie's Billiard Club,Drinking establishment,no,yes,1,0,1
Charlie's Place Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Charlotte Lane Caf̩ & Crafts,Restaurant with onsite dining,no,yes,4,0,1
Charm School Pub,Drinking establishment,yes,yes,1,1,1
Charts Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
ChaTime,Restaurant with onsite dining,yes,yes,4,1,1
Chatime Atlantic,Restaurant with onsite dining,yes,yes,4,1,1
Chatters Salon,Personal care service,yes,yes,7,1,1
Chatters Salon,Personal care service,yes,yes,7,1,1
Chavelah's Caf̩,Restaurant with onsite dining,yes,no,4,1,0
Cheachies Mexican Grill,Restaurant with onsite dining,yes,yes,4,1,1
Cheeky Chic Boutique,Small retail,no,yes,2,0,1
Cheeky Neighbour Diner,Restaurant with onsite dining,yes,yes,4,1,1
Cheelin Express,Restaurant with onsite dining,yes,yes,4,1,1
Cheesecurds,Restaurant with onsite dining,yes,yes,4,1,1
Cheesecurds Woodside,Restaurant with onsite dining,yes,yes,4,1,1
Chef Abod Caf̩ & Catering,Restaurant with onsite dining,yes,yes,4,1,1
Chef Todd's Catering and Deli,Restaurant with onsite dining,yes,yes,4,1,1
Chefs From Away,Restaurant with onsite dining,yes,yes,4,1,1
Chenpapa Food,Restaurant with onsite dining,yes,yes,4,1,1
Cheryl's Place Family Hair Care,Personal care service,yes,yes,7,1,1
Chester Playhouse,Charity,yes,yes,7,1,1
Chester's Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Chez Jean Dairy Twirl,Restaurant with onsite dining,yes,yes,4,1,1
Chezzetcook and District Lions Club,Restaurant with onsite dining,no,yes,4,0,1
Chill Street Fresh Beer and Cider Market,Drinking establishment,yes,yes,1,1,1
China King Family Restaurant,Restaurant with onsite dining,no,yes,4,0,1
China Village Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Chinatown Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
ChiroCare,Self-regulated health professional,yes,yes,6,1,1
Chiropractic Backcare and Health Centre,Self-regulated health professional,yes,no,6,1,0
Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Chislingo,Small retail,no,yes,2,0,1
Chives Canadian Bistro,Restaurant with onsite dining,yes,yes,4,1,1
CHKN CHOP,Restaurant with onsite dining,yes,yes,4,1,1
Chocolate Hackers,Restaurant with onsite dining,yes,yes,4,1,1
Choice Chiropractic & Integrated Health Centre,Self-regulated health professional,yes,yes,6,1,1
Choice Health Centre,Self-regulated health professional,yes,yes,6,1,1
Choice Health Centre,Self-regulated health professional,yes,yes,6,1,1
Chopstix,Restaurant with onsite dining,yes,yes,4,1,1
Chowder House on Main,Restaurant with onsite dining,yes,yes,4,1,1
Chrismaria Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Church's Barbershop,Personal care service,yes,yes,7,1,1
Ciao Bella Esthetics,Personal care service,yes,yes,7,1,1
Ciao Bella Hair Studio,Personal care service,yes,yes,7,1,1
Circa 1860 Kitchen + Public House,Restaurant with onsite dining,yes,yes,4,1,1
Citadel Physiotherapy Company,Self-regulated health professional,yes,yes,6,1,1
Clan CrossFit,Fitness establishment,yes,yes,0,1,1
Clansman Motel,Restaurant with onsite dining,yes,yes,4,1,1
Clare Golf & Country Club,Restaurant with onsite dining,no,yes,4,0,1
Clare Massage Therapy Clinic,Personal care service,yes,yes,7,1,1
Clare Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Clarity Sound Solutions,"Live, performing arts for audience",yes,yes,3,1,1
Clarkson Auto Sales,Small retail,no,yes,2,0,1
Classic Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Clay Caf̩ Truro,Small retail,no,yes,2,0,1
Clay West Bar & Grill,Drinking establishment,yes,no,1,1,0
Claymore Inn & Suites,Restaurant with onsite dining,yes,yes,4,1,1
Clayton Park Chiropractic Centre Inc.,Self-regulated health professional,yes,yes,6,1,1
Clayton Park Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
ClearView Optometry Clinic,Self-regulated health professional,yes,no,6,1,0
Clementsport Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Cloud9 Hair Spa & Studio,Personal care service,yes,yes,7,1,1
Clove Hitch Bar & Bistro,Restaurant with onsite dining,yes,yes,4,1,1
Cloverville Enterprises,Restaurant with onsite dining,yes,yes,4,1,1
CM Optical Limited,Self-regulated health professional,yes,yes,6,1,1
CNE Car Wash,Small retail,no,yes,2,0,1
Coastal Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Coastal Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Coastal Healthcare Solutions,Self-regulated health professional,yes,yes,6,1,1
Coastal Sports & Wellness,Self-regulated health professional,yes,no,6,1,0
Coastal Styling Studio,Personal care service,yes,yes,7,1,1
Coastal Tails,Personal care service,yes,yes,7,1,1
Coastal Vision Clinic,Self-regulated health professional,yes,yes,6,1,1
Coastal Waters Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Cobequid Dance Academy,Fitness establishment,yes,yes,0,1,1
Cobequid Spartans,Fitness establishment,no,yes,0,0,1
Coburg Denture Clinic,Self-regulated health professional,yes,yes,6,1,1
Coburg Social Bar & Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Coco Beach Tanning Studio,Fitness establishment,yes,yes,0,1,1
Cocoa Organic Spa & Boutique,Personal care service,yes,yes,7,1,1
Coffeeology Espresso Co.,Drinking establishment,yes,yes,1,1,1
Coin's Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Colchester Community Workshops,Charity,yes,yes,7,1,1
Colchester Regional Hospital Auxiliary,Charity,yes,yes,7,1,1
Cole Harbour Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Cole Harbour Heritage Farm Museum,Charity,yes,yes,7,1,1
Cole Harbour Optometry,Self-regulated health professional,yes,yes,6,1,1
Cole Harbour Physio & Rehab Centre,Self-regulated health professional,yes,yes,6,1,1
Colleen's Pub & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Collette's Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
CollTeck Computers,Small retail,no,yes,2,0,1
Color Me Crazy Hair Salon,Personal care service,yes,yes,7,1,1
Colouratura Fine Art Gallery,Small retail,no,yes,2,0,1
Colours,Personal care service,yes,yes,7,1,1
Colwell's,Small retail,no,yes,2,0,1
Come Undone Records Inc.,"Live, performing arts for audience",yes,yes,3,1,1
Comfort Orthotics & Podiatry Clinic,Self-regulated health professional,yes,yes,6,1,1
Comforting Companions Care Providers,Personal care service,yes,yes,7,1,1
Commercial Street Deli,Restaurant with onsite dining,yes,yes,4,1,1
Commons Inn,Restaurant with onsite dining,no,yes,4,0,1
Community Hearing,Self-regulated health professional,yes,yes,6,1,1
Complete Physio,Self-regulated health professional,yes,yes,6,1,1
Convenience in the Woods Bar & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Convoy Athletics,Fitness establishment,yes,yes,0,1,1
Cooke's Pizza,Restaurant with onsite dining,no,yes,4,0,1
Cook's Gas Bar & CAfe,Restaurant with onsite dining,yes,yes,4,1,1
Cora Breakfast and Lunch,Restaurant with onsite dining,yes,no,4,1,0
Cora Breakfast and Lunch,Restaurant with onsite dining,yes,no,4,1,0
Cora Breakfast and Lunch,Restaurant with onsite dining,yes,yes,4,1,1
Cora's Breakfast & Lunch,Restaurant with onsite dining,yes,yes,4,1,1
Cora's Breakfast and Lunch,Restaurant with onsite dining,no,yes,4,0,1
Cora's Breakfast and Lunch,Restaurant with onsite dining,yes,yes,4,1,1
Corner Pocket,Drinking establishment,no,yes,1,0,1
Cornerstone Occupational Therapy,Self-regulated health professional,yes,yes,6,1,1
Cornerstone Occupational Therapy Consultants,Self-regulated health professional,yes,yes,6,1,1
Cornwallis Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Corporation of Christ Church,Charity,yes,no,7,1,0
Corrine's Cut & Curl,Personal care service,no,yes,7,0,1
Cosmic Hippie Boutique,Small retail,no,yes,2,0,1
Costafit Rebounding,Fitness establishment,yes,yes,0,1,1
Cottage Bakery,Restaurant with onsite dining,yes,yes,4,1,1
Cotton Tale Cafe & Play,Restaurant with onsite dining,yes,yes,4,1,1
Cousins Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Cove Hearing and Audiology,Self-regulated health professional,yes,yes,6,1,1
Cove Motel & Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Cove Sport Therapy,Fitness establishment,no,yes,0,0,1
Cove Sport Therapy,Self-regulated health professional,yes,yes,6,1,1
CR Leathers & Cycles,Small retail,no,yes,2,0,1
Crave Hair Studio,Personal care service,no,yes,7,0,1
Creamy Rainbow Bakery and Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Creamy Treat Ice Cream,Restaurant with onsite dining,no,yes,4,0,1
Creative Cuts,Personal care service,yes,yes,7,1,1
Creative Touch Salon,Personal care service,yes,yes,7,1,1
Credit Union Rec Complex,Fitness establishment,yes,yes,0,1,1
Crepe Crepe Cafeteria,Restaurant with onsite dining,yes,yes,4,1,1
Crescent Hair Design,Personal care service,yes,yes,7,1,1
Cresthaven Laser,Personal care service,yes,yes,7,1,1
Cribcut,Personal care service,yes,yes,7,1,1
Crofter's Steak & Seafood,Restaurant with onsite dining,yes,yes,4,1,1
CrossFit,Fitness establishment,yes,yes,0,1,1
CrossFit Hubtown,Fitness establishment,yes,yes,0,1,1
CrossFit JONO,Fitness establishment,yes,yes,0,1,1
CrossFit Kinetiics,Fitness establishment,yes,yes,0,1,1
CrossFit Per Ardua,Fitness establishment,yes,yes,0,1,1
Crossroads Counselling Psychological and Consulting Services,Self-regulated health professional,yes,yes,6,1,1
Crossroads Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Crowell Denture Clinic,Self-regulated health professional,yes,yes,6,1,1
Crowning Glory Hair Studio Plus,Personal care service,yes,yes,7,1,1
Crow's Nest,Restaurant with onsite dining,yes,yes,4,1,1
CRUX Psychology,Self-regulated health professional,yes,yes,6,1,1
Crystany's Brasserie,Restaurant with onsite dining,yes,no,4,1,0
Curl Up & Dye Hair Salon/Laser Spa,Personal care service,yes,no,7,1,0
Curl Up and Dye,Personal care service,yes,yes,7,1,1
Curry Express,Restaurant with onsite dining,yes,yes,4,1,1
Curry Village,Restaurant with onsite dining,yes,yes,4,1,1
Custom Curves,Small retail,no,yes,2,0,1
Customs House Inn,Restaurant with onsite dining,no,yes,4,0,1
Cut to the Chase,Personal care service,yes,no,7,1,0
Cuticles Artificial Nails,Personal care service,yes,yes,7,1,1
Cuts & Such,Personal care service,yes,yes,7,1,1
Cutting Edge Studio,Personal care service,yes,yes,7,1,1
Cutting Loose Hair Design,Personal care service,yes,yes,7,1,1
D & D Catering,Restaurant with onsite dining,yes,yes,4,1,1
D&O Coffee,Restaurant with onsite dining,yes,yes,4,1,1
Dada's Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Daggers Cove Tattoo Parlour,Self-regulated health professional,yes,yes,6,1,1
Dairy Queen,Restaurant with onsite dining,yes,no,4,1,0
Dairy Queen,Restaurant with onsite dining,yes,yes,4,1,1
Dairy Queen,Restaurant with onsite dining,yes,yes,4,1,1
Dairy Queen,Restaurant with onsite dining,yes,no,4,1,0
Dairy Queen,Restaurant with onsite dining,yes,yes,4,1,1
Dairy Queen,Restaurant with onsite dining,yes,yes,4,1,1
Damaris Spa & Wellness Centre,Personal care service,yes,yes,7,1,1
daMaurizio Dining Room,Restaurant with onsite dining,yes,yes,4,1,1
Dance Express DJ Services,"Live, performing arts for audience",yes,yes,3,1,1
Daniel's Alehouse and Eatery,Restaurant with onsite dining,yes,yes,4,1,1
Daniels Tailors,Small retail,no,yes,2,0,1
Danji Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Dan's Ice Cream Shoppe,Restaurant with onsite dining,yes,yes,4,1,1
Daphne's Hair Design,Personal care service,yes,no,7,1,0
Dapper Dogs,Personal care service,yes,yes,7,1,1
Darby's Old Church Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
Darling Nails and Spa,Personal care service,yes,yes,7,1,1
Darrell's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Dart Frog Events,"Live, performing arts for audience",yes,yes,3,1,1
Dartmouth General Hospital Auxiliary Association,Charity,yes,yes,7,1,1
Dartmouth Lawn Bowls Club,Fitness establishment,yes,yes,0,1,1
Dartmouth Podiatry,Self-regulated health professional,yes,yes,6,1,1
Dartmouth Yoga Centre,Fitness establishment,no,yes,0,0,1
David's Eyewear,Self-regulated health professional,yes,yes,6,1,1
Davison's Pancake House,Restaurant with onsite dining,yes,no,4,1,0
Dayflex Denture,Self-regulated health professional,yes,yes,6,1,1
Days Gone By Bakery,Restaurant with onsite dining,yes,yes,4,1,1
DC Health and Wellness Solution,Self-regulated health professional,yes,no,6,1,0
DEB Restaurants,Restaurant with onsite dining,yes,yes,4,1,1
Deb's Cozy Kitchen,Restaurant with onsite dining,yes,yes,4,1,1
deCoste Performing Arts Centre,"Live, performing arts for audience",yes,yes,3,1,1
Dee Dee's Ice Cream,Restaurant with onsite dining,yes,yes,4,1,1
Defining Bodies Fitnes,Fitness establishment,yes,yes,0,1,1
Dekies Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Delectable Desserts,Small retail,no,yes,2,0,1
Delicate Touch Electrolysis,Personal care service,no,yes,7,0,1
Den Mar Hair Care,Personal care service,yes,yes,7,1,1
Dennis Point Cafe Limited,Restaurant with onsite dining,yes,no,4,1,0
Dental Magic Hygiene Studio,Self-regulated health professional,yes,yes,6,1,1
DermaEnvy,Personal care service,yes,yes,7,1,1
DermaEnvy Skincare,Personal care service,yes,yes,7,1,1
Designs by Nhung,Small retail,no,yes,2,0,1
Deuville's Trailer Court,Fitness establishment,no,yes,0,0,1
Deveau's Denture Clinic,Self-regulated health professional,yes,yes,6,1,1
Deverness Stables,Fitness establishment,yes,yes,0,1,1
DH Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Dhaba Express,Restaurant with onsite dining,yes,yes,4,1,1
Dharma Sushi Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Di Quinzio Family Barbershop,Personal care service,yes,yes,7,1,1
Diamonds 4 Ever Hair Studio,Personal care service,yes,yes,7,1,1
Dieter's German Baked Goods & Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Digby Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Dilly Dally Eats,Restaurant with onsite dining,yes,yes,4,1,1
Dime Salon Inc.,Personal care service,yes,yes,7,1,1
"Disco Deli Sub, Meat & Convenience",Restaurant with onsite dining,yes,yes,4,1,1
Divergence Tattoos,Personal care service,yes,yes,7,1,1
Dixie Lee Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Dobbit Bakehouse,Restaurant with onsite dining,yes,yes,4,1,1
Dockside Lobster & Seafood Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Doc's Barber Shop,Personal care service,yes,yes,7,1,1
Doctors' Eye Clinic,Self-regulated health professional,yes,no,6,1,0
Doktor Luke's A Respectable Coffee House,Restaurant with onsite dining,yes,yes,4,1,1
Don Cherry's Sports Grill,Restaurant with onsite dining,no,yes,4,0,1
Dongchen International,Small retail,no,yes,2,0,1
Donna's Consignment,Small retail,no,yes,2,0,1
Doolittle's Sports Bar and Grill,Drinking establishment,yes,no,1,1,0
Dooson Food Services,Restaurant with onsite dining,no,yes,4,0,1
Doraku,Restaurant with onsite dining,yes,yes,4,1,1
Doreen's Hair Studio,Personal care service,yes,yes,7,1,1
Double C Truck Stop,Restaurant with onsite dining,yes,yes,4,1,1
Double Dragon,Restaurant with onsite dining,yes,yes,4,1,1
Double Take Family Hair Salon,Personal care service,yes,yes,7,1,1
Doucette's Market and Eatery,Restaurant with onsite dining,yes,yes,4,1,1
Down Beat Dance Company,Fitness establishment,yes,yes,0,1,1
Downtown Fitness Studio,Personal care service,yes,yes,7,1,1
Downtown Nutrition,Restaurant with onsite dining,yes,yes,4,1,1
Downtown Salon Spa,Personal care service,no,yes,7,0,1
Doylecam Productions,"Live, performing arts for audience",yes,yes,3,1,1
Dragon & Butterfly Tattoo,Personal care service,yes,yes,7,1,1
Dragonfly Transformation Consultants,Self-regulated health professional,yes,yes,6,1,1
Drift Coffee Truck,Restaurant with onsite dining,yes,yes,4,1,1
Drilling Connection Perfection,Small retail,no,yes,2,0,1
D's Wolfville Hair Design,Personal care service,yes,yes,7,1,1
Duke's Place Pub & Grill,Drinking establishment,yes,yes,1,1,1
Duly Noted Stationery,Small retail,no,yes,2,0,1
Duncans Lounge Ltd,Restaurant with onsite dining,yes,yes,4,1,1
Dundee Health & Wellness,Personal care service,yes,yes,7,1,1
Durty Nelly's Irish Pub,Restaurant with onsite dining,yes,yes,4,1,1
Dynamic Duo Hairstyling,Personal care service,yes,yes,7,1,1
Dynamic Health Psychological Services,Self-regulated health professional,yes,yes,6,1,1
Ease Chiropractic,Self-regulated health professional,yes,yes,6,1,1
East Avenue Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
East Coast Aikido,Fitness establishment,yes,yes,0,1,1
East Coast Barbers,Personal care service,yes,yes,7,1,1
East Coast Beauty,Personal care service,yes,yes,7,1,1
East Coast Chiropractic and Rehabilitation,Self-regulated health professional,yes,yes,6,1,1
East Coast Hearing,Self-regulated health professional,yes,yes,6,1,1
East Coast Hearing Limited,Self-regulated health professional,yes,yes,6,1,1
East Coast Naturopathic Clinic,Self-regulated health professional,yes,yes,6,1,1
East Coast Occupational Therapy,Self-regulated health professional,no,yes,6,0,1
East Coast Scuba & Watersports,Small retail,no,yes,2,0,1
East Coast Therapeutics,Self-regulated health professional,yes,yes,6,1,1
